iter	AUC	Logloss
497	0.9738101687	0.1772737307
498	0.9738590595	0.1771657762
499	0.9739472667	0.1769600512
500	0.9740467221	0.176727519
501	0.9741219909	0.1764971856
502	0.9741872083	0.1763132232
503	0.9742567762	0.1761371698
504	0.9743396382	0.1759513013
505	0.9744330207	0.1756964593
506	0.9744799384	0.1755591655
507	0.9745294113	0.1754166779
508	0.9745575199	0.175361216
509	0.9746424682	0.1751630926
510	0.9747050251	0.1750057572
511	0.9747491206	0.1748945753
512	0.9748050062	0.1747537805
513	0.9748822077	0.174614206
514	0.9749521314	0.1744650607
515	0.9750083889	0.1743427455
516	0.9750731453	0.1741132333
517	0.9751444356	0.1739153652
518	0.9752029493	0.1737618542
519	0.9752530207	0.1736038234
520	0.9753418828	0.1733751174
521	0.9754082242	0.1731874553
522	0.9754762637	0.1730458967
523	0.9755290926	0.1728623007
524	0.9755970432	0.1727075197
525	0.9756530339	0.1725851974
526	0.9757240169	0.1724495492
527	0.9757777514	0.1723242261
528	0.9758261732	0.1721899827
529	0.9759190463	0.171931217
530	0.9759840534	0.1717823986
531	0.9760452436	0.1716198299
532	0.976109337	0.1714514604
533	0.9761728157	0.1712933766
534	0.9762211162	0.1711578607
535	0.9762867055	0.1709958752
536	0.9763723735	0.1707834375
537	0.9764496155	0.1705798278
538	0.976518593	0.1704177659
539	0.9765834788	0.1702539203
540	0.97662231	0.1701375074
541	0.9766775487	0.1699876234
542	0.9767368144	0.1698227649
543	0.9768325581	0.1696203335
544	0.9768967889	0.1694197533
545	0.976960389	0.1692363911
546	0.9770434208	0.1689990828
547	0.9770927644	0.1688667471
548	0.9772006217	0.1686342288
549	0.9772847938	0.1683998457
550	0.9773622702	0.1682071032
551	0.9774202906	0.1680170327
552	0.9774890174	0.1678592359
553	0.977551542	0.1676694141
554	0.9776222905	0.167493851
555	0.9776740034	0.1673765609
556	0.9777373932	0.1672063391
557	0.9777972008	0.1670513017
558	0.9778720006	0.1668334651
559	0.9779583074	0.1666313794
560	0.9780127536	0.1664860658
561	0.9780589516	0.1663559261
562	0.9781206028	0.1662158145
563	0.9781797391	0.1660428354
564	0.9782551454	0.1658797281
565	0.9783247052	0.1656887892
566	0.9783813185	0.1655478846
567	0.9784432123	0.1654227101
568	0.978495645	0.1652792271
569	0.9785723694	0.1650897501
570	0.9786395841	0.1649446567
571	0.9787242332	0.1647398836
572	0.978799122	0.1645367476
573	0.9788799058	0.1643077094
574	0.9789368911	0.1641285049
575	0.9789724068	0.1640169644
576	0.9790748058	0.1638311219
577	0.9791328989	0.1636743283
578	0.9791779567	0.1635642714
579	0.9792498211	0.1633809284
580	0.9793172057	0.1632041897
581	0.9793472307	0.1631259881
582	0.9793961781	0.1629759889
583	0.9794490312	0.1628289009
584	0.9795116933	0.1626636651
585	0.9795579317	0.1625227167
586	0.9796111891	0.1623223408
587	0.9796548884	0.1621698949
588	0.9797074828	0.1619884688
589	0.9797692229	0.1617845288
590	0.9798278175	0.1616290538
591	0.9798787541	0.1615067871
592	0.9799452249	0.1613264437
593	0.980021456	0.1611620815
594	0.9800688912	0.1610460831
595	0.9801130676	0.1609014665
596	0.9801764735	0.1606534578
597	0.9802192995	0.1605469997
598	0.9802838052	0.1603230369
599	0.9803670715	0.1600757172
600	0.980403404	0.1599308557
601	0.980480371	0.1597387428
602	0.9805251619	0.159600405
603	0.9805742711	0.1594815263
604	0.9806326472	0.1593118661
605	0.98068808	0.1591429824
606	0.9807484212	0.1589574911
607	0.9807994225	0.1588230569
608	0.9808457661	0.1586692352
609	0.9809112907	0.1584883311
610	0.9809638042	0.158340823
611	0.981010172	0.1581885591
612	0.9810676425	0.1579950257
613	0.9811190724	0.1578370324
614	0.981177392	0.1576695049
615	0.9812204282	0.1575666173
616	0.9812600438	0.1574196502
617	0.9813380782	0.1572285079
618	0.981414188	0.1570321041
619	0.9814657311	0.156849161
620	0.9815298083	0.1566643079
621	0.9815853866	0.1565098039
622	0.9816217838	0.1564136558
623	0.9816605584	0.156324852
624	0.9817479811	0.1560890197
625	0.981810538	0.1558904063
626	0.9818815049	0.1556960673
627	0.9819328539	0.155558828
628	0.9819752351	0.155378057
629	0.9820253874	0.1552750575
630	0.9820515956	0.1551854455
631	0.9821107319	0.1550250905
632	0.9821504446	0.1549125876
633	0.9821912893	0.1547951923
634	0.9822386275	0.1546476541
635	0.9823149718	0.1544576669
636	0.9823680756	0.1543276029
637	0.9824280934	0.154188296
638	0.982474356	0.1540691919
639	0.9825203519	0.1539390762
640	0.9826078232	0.1537228521
641	0.9826720459	0.153511115
642	0.9827195619	0.1533750957
643	0.9827719056	0.1532262582
644	0.9828231172	0.1530950268
645	0.9828647059	0.1529884407
646	0.9828992836	0.152855621
647	0.9829379693	0.1527209109
648	0.9829618729	0.1526670801
649	0.9830035829	0.1525290086
650	0.9830677086	0.1523675659
651	0.9831016232	0.1522722083
652	0.9831410771	0.1521455938
653	0.9832169119	0.1519826852
654	0.9832807789	0.1517821971
655	0.9833201033	0.1516581833
656	0.983361409	0.1515435294
657	0.9834001108	0.1514136019
658	0.9834370417	0.1513137592
659	0.9834820995	0.1511573352
660	0.9835395458	0.1509665088
661	0.9835654063	0.1508915881
662	0.9836068494	0.1507365517
663	0.9836335428	0.1506665079
664	0.9836945714	0.1504686422
665	0.98372699	0.1503575873
666	0.9837591095	0.150225299
667	0.9838169196	0.1500826549
668	0.9838590501	0.1499653716
669	0.9839069139	0.1498307607
670	0.9839731987	0.149668258
671	0.9840039758	0.1495798542
672	0.9840499473	0.1494687938
673	0.9840919161	0.1493399692
674	0.9841444215	0.1491947708
675	0.9842066388	0.149030189
676	0.9842486803	0.1489396726
677	0.9842804197	0.1488060726
678	0.9843273212	0.1487051317
679	0.9843664192	0.1485779644
680	0.9844088489	0.1484662961
681	0.9844519013	0.1483463251
682	0.9844972583	0.148198266
683	0.9845339627	0.148102329
684	0.9845762873	0.147976045
685	0.9846145201	0.1478388165
686	0.9846688046	0.1476812975
687	0.9847200647	0.1475382846
688	0.9847545858	0.1474366426
689	0.9847795002	0.1473449826
690	0.9848469979	0.1471649253
691	0.9848877618	0.1470200832
692	0.9849299974	0.1468913464
693	0.9849628851	0.1467602848
694	0.9850063983	0.1466355713
695	0.9850733543	0.146445039
696	0.985125326	0.1462933222
697	0.985159653	0.1461306172
698	0.9851983144	0.1460225517
699	0.9852292856	0.1459094496
700	0.9852715212	0.1457740636
701	0.9853259512	0.1456118496
702	0.9853805025	0.1454713499
703	0.9854581811	0.145273504
704	0.9855149643	0.1450954956
705	0.9855452319	0.1450070723
706	0.9856073198	0.1448057994
707	0.9856651865	0.144664244
708	0.9857134951	0.144529121
709	0.9857419433	0.1444510292
710	0.9857845428	0.1443048485
711	0.9858137026	0.1441660733
712	0.9858545231	0.1440241171
713	0.9858821141	0.1439452362
714	0.9859150422	0.1438191977
715	0.9859542777	0.1437063725
716	0.9860016644	0.1435547022
717	0.9860293686	0.1434659202
718	0.9860479918	0.1434027938
719	0.9860862731	0.14324787
720	0.9861237053	0.1431296486
721	0.9861732915	0.1429582436
722	0.9862267593	0.1428312805
723	0.9862792566	0.1427015159
724	0.9863151039	0.1425773145
725	0.9863541049	0.1424431989
726	0.9863780409	0.1423500229
727	0.9864195083	0.1422443815
728	0.9864429347	0.1421679429
729	0.9864645094	0.1420597323
730	0.9864868523	0.1419671431
731	0.9865352175	0.1418186856
732	0.9865642964	0.1416812861
733	0.9866047288	0.141587313
734	0.9866341635	0.1414985487
735	0.9866703666	0.1413486943
736	0.9867156508	0.1411804973
737	0.9867484576	0.1410759032
738	0.9867755715	0.1409925013
739	0.9868169095	0.1408721705
740	0.9868501934	0.1408071124
741	0.986886348	0.1407052316
742	0.9869204891	0.1406138202
743	0.986964811	0.1405074695
744	0.9869839112	0.1403949686
745	0.9870204135	0.1402731928
746	0.9870499615	0.1401361231
747	0.9870984318	0.1399938221
748	0.9871518995	0.1398207511
749	0.9871893722	0.1396496445
750	0.9872077689	0.1396007462
751	0.9872289958	0.1395255775
752	0.9872695252	0.1394174109
753	0.9873144617	0.1392732709
754	0.9873361092	0.1391832232
755	0.9873642501	0.1390846652
756	0.9873948088	0.1389854002
757	0.9874247854	0.1388745868
758	0.9874408046	0.1387978058
759	0.9874654118	0.1386896113
760	0.9875096771	0.1385174856
761	0.9875472064	0.1383640854
762	0.987577474	0.1382535164
763	0.987628815	0.138085959
764	0.9876706139	0.1379568382
765	0.9877024665	0.1378410073
766	0.9877211867	0.1377765766
767	0.9877630584	0.1376495261
768	0.987823812	0.1374661947
769	0.987859441	0.1373335764
770	0.9878942613	0.1371977461
771	0.9879278848	0.1370914039
772	0.9879796059	0.1369369331
773	0.9880186554	0.1367857132
774	0.9880471117	0.1366606689
775	0.9880835655	0.1365750812
776	0.9881481844	0.1363618614
777	0.9881789534	0.1362629796
778	0.9881991858	0.1361983148
779	0.9882263159	0.1360644336
780	0.9882684059	0.1359397486
781	0.9882932475	0.1358331775
782	0.9883230704	0.1357245081
783	0.988359411	0.1355924064
784	0.9883917892	0.1355123361
785	0.9884411975	0.1353760445
786	0.9884942286	0.1352041319
787	0.9885301163	0.1350759675
788	0.988566562	0.1349205266
789	0.9886103583	0.1348122208
790	0.9886311486	0.1347588368
791	0.9886845597	0.1345926797
792	0.9887044524	0.1344845075
793	0.9887493566	0.1343404639
794	0.9887847834	0.134213174
795	0.9888170079	0.1340785855
796	0.9888483753	0.1339701354
797	0.9889032177	0.1338184688
798	0.9889402538	0.1336755696
799	0.9889587879	0.1336191018
800	0.9889843412	0.1335578997
801	0.9890248139	0.1334239824
802	0.9890598283	0.1332792554
803	0.9890816618	0.133195304
804	0.9891056058	0.1331175724
805	0.9891480112	0.1329712367
806	0.9891600116	0.1329036615
807	0.9891933035	0.132784501
808	0.9892189295	0.1327003219
809	0.9892537175	0.1325922692
810	0.9892839043	0.1325004038
811	0.9893312425	0.1323700374
812	0.9893613807	0.1322574221
813	0.9894007618	0.1320876806
814	0.9894329864	0.1319912808
815	0.9894720845	0.1318542136
816	0.9895003709	0.1317515195
817	0.9895148619	0.1316526422
818	0.9895493749	0.1315113673
819	0.9895859662	0.131378931
820	0.9896232448	0.1312336741
821	0.9896460971	0.1311273578
822	0.9896799147	0.1309844904
823	0.9897213336	0.130859874
824	0.9897367221	0.1307812171
825	0.9897717689	0.1306769995
826	0.9897932708	0.130591835
827	0.9898173523	0.1304871115
828	0.9898476604	0.1303871043
829	0.9898865239	0.1302299425
830	0.9899152228	0.1301497382
831	0.989940493	0.1300689526
832	0.9899601997	0.1299799495
833	0.9899919553	0.1298644818
834	0.990023355	0.1297535434
835	0.9900561214	0.1296113737
836	0.9900929148	0.1294915072
837	0.9901263442	0.1293824143
838	0.9901618681	0.129254712
839	0.9901796664	0.1291877115
840	0.9902047102	0.1290979723
841	0.9902224115	0.1290012087
842	0.9902492504	0.1289280376
843	0.9902700569	0.1288731616
844	0.9903095593	0.1287593812
845	0.9903362446	0.1286509705
846	0.9903685905	0.1285557036
847	0.9903827903	0.1285193184
848	0.9903977584	0.1284860161
849	0.9904185244	0.1284085268
850	0.9904440291	0.1283092959
851	0.9904785422	0.1281998868
852	0.990504152	0.1280640943
853	0.9905408646	0.1279098808
854	0.9905683019	0.1278156157
855	0.9905970979	0.1276863776
856	0.9906243169	0.1275711
857	0.9906473633	0.1275018323
858	0.990681278	0.1273746597
859	0.9907251147	0.1272486635
860	0.9907409399	0.1271719805
861	0.9907758573	0.1270645852
862	0.9908168476	0.1269372296
863	0.9908443496	0.126831117
864	0.990875248	0.1267066065
865	0.9909003484	0.1265949811
866	0.9909514791	0.1264071132
867	0.9909868898	0.1263171081
868	0.9910137449	0.1262180257
869	0.9910421446	0.1261076372
870	0.9910656843	0.126015305
871	0.9910875258	0.1259096479
872	0.9911069253	0.1258306408
873	0.9911459101	0.1256703202
874	0.9911839165	0.1255215737
875	0.9912112973	0.1254279696
876	0.9912449936	0.1252904951
877	0.9912708865	0.1251688513
878	0.9912961081	0.1250943672
879	0.9913063052	0.1250093497
880	0.9913268205	0.1249260085
881	0.9913431795	0.1248414708
