iter	Passed	Remaining
1624	82269	120239
1625	82323	120194
1626	82374	120144
1627	82422	120089
1628	82472	120037
1629	82527	119994
1630	82580	119946
1631	82631	119897
1632	82683	119848
1633	82748	119818
1634	82798	119766
1635	82854	119723
1636	82906	119675
1637	82958	119625
1638	83013	119581
1639	83067	119536
1640	83119	119487
1641	83171	119438
1642	83222	119389
1643	83274	119339
1644	83323	119286
1645	83376	119239
1646	83429	119191
1647	83478	119139
1648	83529	119088
1649	83580	119038
1650	83629	118985
1651	83677	118930
1652	83726	118878
1653	83775	118825
1654	83823	118771
1655	83874	118720
1656	83928	118674
1657	83986	118634
1658	84040	118588
1659	84094	118542
1660	84148	118496
1661	84199	118446
